filename,country,city
aarhus_denmark.png,Denmark,Aarhus
accra_ghana.png,Ghana,Accra
anchorage_alaska.png,United States,Anchorage
ankara_turkey.png,Turkey,Ankara
bloemfontein_south-africa.png,South Africa,Bloemfontein
brasilia_brazil.png,Brazil,Brasilia
commerce_california.png,United States,Commerce
cusco_peru.png,Peru,Cusco
dublin_ireland.png,Ireland,Dublin
kobe_japan.png,Japan,Kobe
kuala-lumpur_malaysia.png,Malaysia,Kuala Lumpur
sydney_australia.png,Australia,Sydney
thessaloniki_greece.png,Greece,Thessaloniki
tunis_tunisia.png,Tunisia,Tunis
